Brand,Name,Location,Rating,Number of Ratings,Price
Cask & Compass,"Cask & Compass
Cabernet Sauvignon 2018","Central Coast, United States",3.7,35 ratings,11.99
Château La Commanderie,"Château La Commanderie
Esprit de La Commanderie Pomerol 2017","Pomerol, France",4.2,76 ratings,28.99
Lui & William Wines,"Lui & William Wines
Dominio de Taurum 2020","Toro, Spain",4.2,171 ratings,16.99
Casa Ermelinda Freitas,"Casa Ermelinda Freitas
Vinha do Torrão Grande Escolha 2020","Península de Setúbal, Portugal",4.1,777 ratings,16.99
Domaine Dieu-Le-Fit - Rémi Pouizin Vignoble,"Domaine Dieu-Le-Fit - Rémi Pouizin Vignoble
Les Estoubles Côtes-du-Rhône 2020","Côtes-du-Rhône, France",4.0,67 ratings,16.99
Astrale,"Astrale
Nero d'Avola 2018","Sicilia, Italy",4.1,61 ratings,16.99
Domaine Coudoulis,"Domaine Coudoulis
Dédicace Lirac 2019","Lirac, France",4.3,182 ratings,21.99
Château Mangot,"Château Mangot
Saint-Émilion Grand Cru 2019","Saint-Émilion Grand Cru, France",4.1,44 ratings,21.99
Poundstone,"Poundstone
Pinot Noir 2019","Los Carneros, United States",4.0,28 ratings,21.99
Ilatium Morini,"Ilatium Morini
Campo León Amarone della Valpolicella 2017","Amarone della Valpolicella, Italy",4.4,157 ratings,36.99
Le Chiantigiane,"Le Chiantigiane
Loggia del Sole Governo All'Uso Toscana 2020","Toscana, Italy",4.3,224 ratings,19.99
Finca Los Principes,"Finca Los Principes
Rioja Reserva 2016","Rioja, Spain",4.3,169 ratings,19.99
Bodega Iaccarini,"Bodega Iaccarini
Via Blanca Terroir Series Malbec 2020","Mendoza, Argentina",4.2,58 ratings,15.99
Château Tour du Moulin,"Château Tour du Moulin
Les Terres Rouges Fronsac 2019","Libournais, France",4.2,217 ratings,19.99
Château Lamothe-Bergeron,"Château Lamothe-Bergeron
Rives de Lamothe Haut-Médoc 2017","Haut-Médoc, France",4.2,186 ratings,19.99
Ponte Lungo,"Ponte Lungo
Curioso 2019","Toscana, Italy",4.0,662 ratings,14.99
Diez Caballero,"Diez Caballero
Reserva Tempranillo 2014","Rioja, Spain",4.0,79 ratings,19.99
Francis Ford Coppola Winery,"Francis Ford Coppola Winery
Grazie Mille! 2017","California, United States",3.8,170 ratings,14.99
Kallan Vintners,"Kallan Vintners
Anza Diem Zinfandel 2020","Lodi, United States",3.7,75 ratings,14.99
Tezza,"Tezza
Corte Majoli Amarone della Valpolicella 2018","Amarone della Valpolicella, Italy",4.4,48 ratings,29.99
Tezza,"Tezza
Corte Majoli Amarone della Valpolicella 2017","Amarone della Valpolicella, Italy",4.3,248 ratings,29.99
Quinta Nova de Nossa Senhora do Carmo,"Quinta Nova de Nossa Senhora do Carmo
Douro Reserva 2020","Douro, Portugal",4.3,238 ratings,24.99
Corte Medicea,"Corte Medicea
Eklektós Cabernet Sauvignon 2018","Toscana, Italy",4.3,221 ratings,24.99
Visconti,"Visconti
Brunello di Montalcino 2017","Brunello di Montalcino, Italy",4.3,163 ratings,29.99
Algodon,"Algodon
Premium Reserve Malbec - Bonarda 2014","Mendoza, Argentina",4.0,141 ratings,24.99
De Stefani,"De Stefani
Solèr 2019","Veneto, Italy",4.3,373 ratings,34.99
Tenute Ca' Botta,"Tenute Ca' Botta
Tenuta Cajo’ Amarone della Valpolicella 2016","Amarone della Valpolicella, Italy",4.3,177 ratings,44.99
Il Molino di Grace,"Il Molino di Grace
Toscana Gratius 2016","Toscana, Italy",4.2,49 ratings,44.99
Chateau Jacques Pelotier,"Chateau Jacques Pelotier
Château Sainte-Marie Pomerol 2018","Pomerol, France",4.2,72 ratings,32.99
Bodegas Montegaredo,"Bodegas Montegaredo
Pirámide Crianza 2017","Ribera del Duero, Spain",4.4,97 ratings,27.99
Château Grand Français,"Château Grand Français
Cuvée Héritage Bordeaux Supérieur 2018","Bordeaux Supérieur, France",4.1,216 ratings,17.99
Château Lalande de Gravet,"Château Lalande de Gravet
Saint-Émilion Grand Cru 2018","Saint-Émilion Grand Cru, France",4.3,340 ratings,29.99
Stags' Leap,"Stags' Leap
Cabernet Sauvignon 2019","Napa Valley, United States",4.3,1101 ratings,39.99
Terrecarsiche 1939,"Terrecarsiche 1939
Fanova Primitivo 2019","Gioia del Colle, Italy",4.3,866 ratings,24.99
Château Moulin du Ginestra,"Château Moulin du Ginestra
Médoc 2019","Médoc, France",4.3,134 ratings,19.99
Château d'Eyssan,"Château d'Eyssan
Haut-Médoc 2018","Haut-Médoc, France",4.2,199 ratings,19.99
Pietro Zardini,"Pietro Zardini
Pietro Junior Amarone della Valpolicella 2018","Amarone della Valpolicella, Italy",4.4,168 ratings,36.99
Château Rouget,"Château Rouget
Le Carillon de Rouget Pomerol 2016","Pomerol, France",4.3,306 ratings,36.99
Château Haut Prieur,"Château Haut Prieur
Blaye - Côtes de Bordeaux 2019","Blaye - Côtes de Bordeaux, France",4.2,246 ratings,15.99
Cignomoro,"Cignomoro
Primitivo di Manduria 2020","Primitivo di Manduria, Italy",4.2,196 ratings,23.99
Ventisquero,"Ventisquero
Enclave Ultra Premium Cabernet Sauvignon 2015","Maipo Valley, Chile",4.3,143 ratings,39.99
Château Laroze,"Château Laroze
Lady Laroze Saint-Émilion Grand Cru 2015","Saint-Émilion Grand Cru, France",4.3,124 ratings,31.99
Kendall-Jackson,"Kendall-Jackson
Kentucky Derby Cabernet Sauvignon 2019","Napa Valley, United States",3.8,39 ratings,14.99
Otra Vez,"Otra Vez
Cabernet Sauvignon 2017","Calistoga, United States",4.1,61 ratings,34.99
Château Fargueirol,"Château Fargueirol
Vieux Chemin Châteauneuf-du-Pape 2020","Châteauneuf-du-Pape, France",4.3,496 ratings,29.99
