Brand,Name,Location,Rating,Number of Ratings,Price
Klein Constantia,"Klein Constantia
Vin de Constance (Natural Sweet) 2009","Constantia, South Africa",4.6,743 ratings,Available online from $181.67
Klein Constantia,"Klein Constantia
Vin de Constance (Natural Sweet) 2017","Constantia, South Africa",4.6,677 ratings,Available online from $79.99
Klein Constantia,"Klein Constantia
Vin de Constance (Natural Sweet) 2016","Constantia, South Africa",4.6,612 ratings,Available online from $96
Château d'Yquem,"Château d'Yquem
Sauternes 1987","Sauternes, France",4.6,454 ratings,Available online from $353.57
Klein Constantia,"Klein Constantia
Vin de Constance (Natural Sweet) 2018","Constantia, South Africa",4.6,450 ratings,Available online from $64.99
Château d'Yquem,"Château d'Yquem
Sauternes 1993","Sauternes, France",4.6,363 ratings,Available online from $399.99
Dolce,"Dolce
Dolce (Late Harvest) 2013","Napa Valley, United States",4.6,328 ratings,Available online from $84.99
Dal Forno Romano,"Dal Forno Romano
Vigna Seré Veneto Passito Rosso 2004","Veneto, Italy",4.6,248 ratings,Available online from $199.99
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 2001","Barsac, France",4.6,201 ratings,Available online from $195
Château de Fargues,"Château de Fargues
Sauternes (Lur Saluces) 1990","Sauternes, France",4.6,191 ratings,Available online from $275
Château Climens,"Château Climens
Barsac (Premier Grand Cru Classé) 1990","Barsac, France",4.6,140 ratings,Available online from $179.99
Château Gilette,"Château Gilette
Sauternes (Crème de Tête) 1989","Sauternes, France",4.6,135 ratings,Available online from $445.50
Oremus,"Oremus
Tokaji Aszú 6 Puttonyos 2013","Tokaj, Hungary",4.6,129 ratings,Available online from $132.30
Didier Dagueneau (Louis-Benjamin Dagueneau),"Didier Dagueneau (Louis-Benjamin Dagueneau)
Les Jardins de Babylone Moelleux 2007","Jurançon, France",4.6,120 ratings,Available online from $102.86
Philippe Foreau,"Philippe Foreau
Reserve Vouvray Moelleux 2009","Vouvray, France",4.6,107 ratings,Available online from $143.33
Klein Constantia,"Klein Constantia
Vin de Constance (Natural Sweet) 2019","Constantia, South Africa",4.6,107 ratings,Available online from $336.67
Avignonesi,"Avignonesi
Vin Santo di Montepulciano 2002","Vin Santo di Montepulciano, Italy",4.6,102 ratings,Available online from $209.88
Château Mossé,"Château Mossé
Rivesaltes 1933","Rivesaltes, France",4.6,80 ratings,Available online from $399.99
Paolo Bea,"Paolo Bea
Montefalco Sagrantino Passito 2009","Montefalco Sagrantino, Italy",4.6,60 ratings,Available online from $89.99
Royal Tokaji,"Royal Tokaji
Mézes Mály Single Vineyard 6 Puttonyos Aszú 2009","Tokaj, Hungary",4.6,54 ratings,Available online from $199.99
Keller,"Keller
Pius Beerenauslese 2019","Rheinhessen, Germany",4.6,52 ratings,Available online from $45
Domaine des Baumard,"Domaine des Baumard
Quarts de Chaume 1997","Quarts de Chaume, France",4.6,48 ratings,Available online from $89
Királyudvar,"Királyudvar
Tokaji Aszú 6 Puttonyos 2008","Tokaj, Hungary",4.6,36 ratings,Available online from $79.89
Disznókó,"Disznókó
Tokaji Kapi Vineyard Aszu 6 Puttonyos 2015","Tokaj, Hungary",4.6,35 ratings,Available online from $134.99
Cantina del Redi,"Cantina del Redi
Vin Santo di Montepulciano 1995","Vin Santo di Montepulciano, Italy",4.6,34 ratings,Available online from $75
Tσiakkaς,"Tσiakkaς
Κουμανταρία (Commandaria) 2014","Commandaria, Cyprus",4.6,29 ratings,Available online from $51.30
Château Sigalas Rabaud,"Château Sigalas Rabaud
Sauternes (Premier Grand Cru Classé) 1985","Sauternes, France",4.6,26 ratings,Available online from $58
