Brand,Name,Location,Rating,Number of Ratings,Price
Jean-Paul & Benoit Droin,"Jean-Paul & Benoit Droin
Chablis Premier Cru 'Montée de Tonnerre' 2018","Chablis 1er Cru 'Montee de Tonnerre', France",4.3,316 ratings,59.99
Domaine Michel Niellon,"Domaine Michel Niellon
Chassagne-Montrachet Blanc 2018","Chassagne-Montrachet, France",4.3,285 ratings,149.99
Merry Edwards,"Merry Edwards
Sauvignon Blanc 2020","Russian River Valley, United States",4.3,258 ratings,61.99
Hamilton Russell Vineyards,"Hamilton Russell Vineyards
Chardonnay 2021","Hemel-en-Aarde Valley, South Africa",4.3,237 ratings,40.84
Far Niente,"Far Niente
Chardonnay 2021","Napa Valley, United States",4.3,215 ratings,57.49
Joseph Drouhin,"Joseph Drouhin
Meursault 2019","Meursault, France",4.3,212 ratings,84.99
Francois Villard,"Francois Villard
Condrieu DePoncins 2017","Condrieu, France",4.3,187 ratings,74.99
Domaine William Fèvre,"Domaine William Fèvre
Chablis Grand Cru Les Clos 2018","Chablis Grand Cru 'Les Clos', France",4.3,185 ratings,149.95
Vincent Girardin,"Vincent Girardin
Meursault 'Les Narvaux' 2015","Meursault, France",4.3,181 ratings,69.94
Francois Villard,"Francois Villard
Condrieu Les Terrasses du Palat 2019","Condrieu, France",4.3,180 ratings,69.99
Louis Jadot,"Louis Jadot
Chassagne-Montrachet Blanc 2017","Chassagne-Montrachet, France",4.3,172 ratings,139.99
Hudson,"Hudson
Chardonnay 2019","Los Carneros, United States",4.3,171 ratings,64.94
E. Guigal,"E. Guigal
Condrieu La Doriane 2020","Condrieu, France",4.3,171 ratings,139.99
Fontaine-Gagnard,"Fontaine-Gagnard
Chassagne-Montrachet Blanc 2018","Chassagne-Montrachet, France",4.3,166 ratings,79.94
Lloyd Cellars,"Lloyd Cellars
Chardonnay 2020","Los Carneros, United States",4.3,160 ratings,44.99
Zuccardi,"Zuccardi
Fósil San Pablo 2019","Uco Valley, Argentina",4.3,155 ratings,55.09
Kumeu River,"Kumeu River
Hunting Hill Chardonnay 2020","Kumeu, New Zealand",4.3,153 ratings,52.24
Avancia,"Avancia
Godello 2020","Valdeorras, Spain",4.3,151 ratings,30.99
Flowers,"Flowers
Sonoma Coast Chardonnay 2021","Sonoma Coast, United States",4.3,142 ratings,39.87
Chappellet,"Chappellet
Grower Collection Calesa Vineyard Five Blocks Chardonnay 2018","Petaluma Gap, United States",4.3,142 ratings,54.94
Jermann,"Jermann
Vintage Tunina 2020","Venezia Giulia, Italy",4.3,140 ratings,64.95
Niepoort,"Niepoort
Douro Reserva Redoma Branco 2020","Douro, Portugal",4.3,135 ratings,34.94
Jermann,"Jermann
Where Dreams have no end (W... Dreams...) 2020","Venezia Giulia, Italy",4.3,134 ratings,74.95
Gran Moraine,"Gran Moraine
Chardonnay 2017","Yamhill-Carlton District, United States",4.3,128 ratings,42.99
Albert Grivault,"Albert Grivault
Clos du Murger Meursault 2019","Meursault, France",4.3,124 ratings,74.94
Alphonse Mellot,"Alphonse Mellot
Edmond Sancerre 2018","Sancerre, France",4.3,115 ratings,99.99
Pahlmeyer,"Pahlmeyer
Jayson Chardonnay 2018","North Coast, United States",4.3,114 ratings,49.99
Hartford Court,"Hartford Court
Four Hearts Vineyards Chardonnay 2018","Russian River Valley, United States",4.3,112 ratings,44.99
Krupp Brothers,"Krupp Brothers
Chardonnay (Stagecoach Vineyard) 2014","Napa Valley, United States",4.3,94 ratings,54.95
Philippe Chavy,"Philippe Chavy
Puligny-Montrachet 'Les Corvées des Vignes' 2016","Puligny-Montrachet, France",4.3,93 ratings,84.94
M. Chapoutier,"M. Chapoutier
Ermitage de l'Orée 2008","Hermitage, France",4.3,86 ratings,119.95
Schloss Gobelsburg,"Schloss Gobelsburg
Grüner Veltliner Lamm 1 ÖTW 2020","Kamptal, Austria",4.3,86 ratings,79.95
Philippe Colin,"Philippe Colin
Chassagne-Montrachet Blanc 2020","Chassagne-Montrachet, France",4.3,85 ratings,109.99
Flowers,"Flowers
Camp Meeting Ridge Vineyard Chardonnay 2018","Sonoma Coast, United States",4.3,84 ratings,84.99
Chateau Montelena,"Chateau Montelena
Chardonnay 2020","Napa Valley, United States",4.3,84 ratings,67.49
Paul Hobbs,"Paul Hobbs
Chardonnay 2019","Russian River Valley, United States",4.3,83 ratings,59.99
J.M. Boillot,"J.M. Boillot
Puligny-Montrachet Premier Cru Champ-Canet 2013","Puligny-Montrachet Premier Cru, France",4.3,80 ratings,99.94
Post & Beam,"Post & Beam
Chardonnay 2021","Napa Valley, United States",4.3,79 ratings,34.19
Domaine Arnaud Lambert,"Domaine Arnaud Lambert
Clos de La Rue Saumur 2017","Saumur, France",4.3,79 ratings,64.99
Francois Villard,"Francois Villard
Condrieu Le Grand Vallon 2019","Condrieu, France",4.3,78 ratings,71.99
Racines,"Racines
Chardonnay 2018","Sta. Rita Hills, United States",4.3,75 ratings,49.94
Cape Point Vineyards,"Cape Point Vineyards
Isliedh 2019","Cape Point, South Africa",4.3,74 ratings,42.74
